"","V1","V2"
"SS2_15_0169:N6_unique.bam",5.26130867004395,-3.45972752571106
"SS2_15_0169:N12_unique.bam",0.969826757907867,-0.925922691822052
"SS2_15_0169:N14_unique.bam",-3.24289083480835,-6.10799741744995
"SS2_15_0169:N16_unique.bam",-1.96611666679382,-4.85010099411011
"SS2_15_0169:N17_unique.bam",-2.11050939559937,-4.43470621109009
"SS2_15_0169:N21_unique.bam",2.80347108840942,-1.92239534854889
"SS2_15_0169:N23_unique.bam",-2.5579080581665,-5.53875303268433
"SS2_15_0169:O4_unique.bam",3.85718631744385,-2.31382274627686
"SS2_15_0169:O9_unique.bam",1.28488576412201,-0.973015785217285
"SS2_15_0169:O10_unique.bam",-3.55963397026062,-5.91466379165649
"SS2_15_0169:O12_unique.bam",1.51665019989014,-1.12723958492279
"SS2_15_0169:O17_unique.bam",-3.79374551773071,-5.25213241577148
"SS2_15_0169:P4_unique.bam",1.82523667812347,-1.26128113269806
"SS2_15_0169:P5_unique.bam",-3.85189294815063,-5.77294015884399
"SS2_15_0169:P13_unique.bam",-2.58757543563843,-6.50135040283203
"SS2_15_0169:P16_unique.bam",1.5901882648468,-1.44820821285248
"SS2_16_688:A6_unique.bam",4.38515377044678,1.28522431850433
"SS2_16_688:A4_unique.bam",10.0372877120972,6.30907392501831
"SS2_16_688:A3_unique.bam",10.7177619934082,5.96067428588867
"SS2_16_688:A11_unique.bam",10.0430488586426,5.81531858444214
"SS2_16_688:A14_unique.bam",10.4884958267212,5.26922464370728
"SS2_16_688:A20_unique.bam",8.55959987640381,1.61999106407166
"SS2_16_688:A22_unique.bam",9.84420871734619,4.14441394805908
"SS2_16_688:B3_unique.bam",7.20387268066406,0.461612045764923
"SS2_16_688:B9_unique.bam",8.6898946762085,2.43280076980591
"SS2_16_688:B15_unique.bam",10.2444477081299,4.77304983139038
"SS2_16_688:B17_unique.bam",5.4710898399353,1.33224380016327
"SS2_16_688:B20_unique.bam",9.51846790313721,3.65657353401184
"SS2_16_688:B22_unique.bam",10.8440895080566,7.17085218429565
"SS2_16_688:C1_unique.bam",10.898736000061,7.93570137023926
"SS2_16_688:C5_unique.bam",5.25253009796143,1.22084832191467
"SS2_16_688:C8_unique.bam",7.04026222229004,1.37805593013763
"SS2_16_688:C12_unique.bam",8.19288635253906,2.53512835502625
"SS2_16_688:C17_unique.bam",10.7510938644409,6.77454662322998
"SS2_16_688:D5_unique.bam",11.3108787536621,7.29330205917358
"SS2_16_688:D4_unique.bam",10.5344333648682,5.31964731216431
"SS2_16_688:D6_unique.bam",7.15348768234253,-0.100693911314011
"SS2_16_688:D11_unique.bam",8.91815757751465,2.57912659645081
"SS2_16_688:D15_unique.bam",8.20379829406738,1.99110996723175
"SS2_16_688:D19_unique.bam",10.1785564422607,7.87068557739258
"SS2_16_688:E2_unique.bam",10.4046249389648,5.69574022293091
"SS2_16_688:E1_unique.bam",10.6942071914673,5.14194536209106
"SS2_16_688:E6_unique.bam",9.93252468109131,3.54413461685181
"SS2_16_688:E11_unique.bam",10.1039924621582,7.77101135253906
"SS2_16_688:E16_unique.bam",10.34361743927,7.73299169540405
"SS2_16_688:E15_unique.bam",7.83623743057251,-0.348621398210526
"SS2_16_688:F1_unique.bam",11.0102367401123,5.32524824142456
"SS2_16_688:E23_unique.bam",9.09249496459961,3.61529231071472
"SS2_16_688:F3_unique.bam",9.48779964447021,3.84160137176514
"SS2_16_688:F8_unique.bam",6.04404306411743,0.659431874752045
"SS2_16_688:F11_unique.bam",9.42176532745361,3.33053183555603
"SS2_16_688:F14_unique.bam",5.59476947784424,0.785743892192841
"SS2_16_688:F17_unique.bam",9.68600845336914,5.17194128036499
"SS2_16_688:F15_unique.bam",10.2240877151489,5.59622144699097
"SS2_16_688:F20_unique.bam",9.51749229431152,3.3040075302124
"SS2_16_688:F19_unique.bam",10.5419235229492,6.17690181732178
"SS2_16_688:F18_unique.bam",10.5091133117676,5.86344432830811
"SS2_16_688:F21_unique.bam",9.80331802368164,5.63360643386841
"SS2_16_688:G7_unique.bam",7.07568788528442,1.25863349437714
"SS2_16_688:G5_unique.bam",10.6198463439941,6.62086915969849
"SS2_16_688:G9_unique.bam",10.947548866272,6.29527711868286
"SS2_16_688:G14_unique.bam",9.83908271789551,5.66878509521484
"SS2_16_688:G10_unique.bam",9.6630687713623,3.82573103904724
"SS2_16_688:G12_unique.bam",7.99348163604736,0.394260108470917
"SS2_16_688:G16_unique.bam",10.33469581604,7.61630439758301
"SS2_16_688:G19_unique.bam",10.457462310791,5.23801183700562
"SS2_16_688:G20_unique.bam",8.58009815216064,2.76039671897888
"SS2_16_688:G24_unique.bam",7.31960725784302,1.46678781509399
